source,target
Lucas,Math
Math,Physics
Lucas,Programming
Lucas,Jiu-Jitsu
Lucas,English
Lucas,Management
Math,Calculus
Math,Statistics
Physics,Static
Calculus,Static
Programming,C
Programming,Assembly
C,C++
C++,Java
C++,C#
C#,AForge
AForge,Webcam
C++,Javascript
Javascript,NodeJS
Physics,Eletronics
Eletronics,Mcco
C,Mcco
Assembly,Mcco
NodeJS,FS
NodeJS,Http
NodeJS,Ws
NodeJS,SocketIO
Javascript,SocketIO
C#,USB
PIC,USB
Javascript,WebRTC
Javascript,AJAX
Lucas,Design
Design,SVG
Javascript,D3
SVG,D3
Mcco,PIC
Mcco,Esp
C++,PHP
Lucas,Music
Music,AcGuitar
AcGuitar,ElecGuitar
Music,Cavaco
Music,Bandolim
Cavaco,Banjo
C#,Socket
Math,TCPIP
TCPIP,Socket
PIC,UART
C#,UART
PIC,TCPIP
Music,Score
Score,Compos.In
Javascript,Compos.In
PIC,mTouch
mTouch,LeafSwitch
Eletronics,EletPower
EletPower,LeafSwitch
TCPIP,Actview
Webcam,Actview
WebRTC,Qeek.me
Ws,Qeek.me
Http,Qeek.me
Mcco,OV7670
C#,WPF
Lucas,MarkupLang
XML,MusicXML
MarkupLang,HTML
MarkupLang,XML
XML,WPF
C#,WPF
HTML,PHP
PHP,Qeek.me
SVG,RaphäelJS
Javascript,RaphäelJS
Http,Esp
Static,Mechanics
Physics,DynamicSystems
Calculus,DynamicSystems
DynamicSystems,Control
Math,Economics
Jiu-Jitsu,Guard
Design,TechnicalDrawing
TechnicalDrawing,AutoCad
TechnicalDrawing,SolidEdge
Programming,LuaLang
LuaLang,Esp
