name,connections,color,x,y,description,wikipediaTitle,books,internetRefs,courses
Math,,yellow,350,10,,Mathematics,Ideias Geniais na Matemática,,
Social Relation,,blue,350,310,,Social_relation,Como fazer amigos e influenciar pessoas,,
Sales,Social Relation;Statistics;Economics,gold,950,560,,Sales,A Biblia de Vendas;Como fazer amigos e influenciar pessoas,,
Physics,Math,lightblue,650,160,,Physics,,,
Programming,,yellow,350,60,,Computer_programming,Visual C# 2010 Step By Step;Criação de Sistemas Supervisorios em Visual C# 2010 Express ,,
Jiu-Jitsu,,yellow,350,210,,Brazilian_jiu-jitsu,,,
English,,yellow,350,260,,English_language,,,
Management,Social Relation;Sales,yellow,1250,510,,Management,"Monge e o Executivo;As 48 Leis do Poder;A Arte da Guerra;Osiris Silva, um Lider da Inovação;Boas Dicas para Boas Falas;Como Lidar com Pessoas Dificeis;Como fazer amigos e influenciar pessoas",,
Calculus,Math,yellow,650,110,,Calculus,,,
Statistics,Math,yellow,650,10,,Statistics,,,
Statics,Calculus;Physics,yellow,950,60,,Statics,Estática nas Estruturas;Projeto de Engenharia Mecânica,,
C,Programming,yellow,650,210,,C_(programming_language),,,
Assembly,Programming,yellow,650,260,,Assembly_language,,,
C++,C,yellow,950,160,,C%2B%2B,C++Complete Reference (3rd Ed.),,
Java,C++,yellow,1250,160,,Java_(programming_language),,,
C#,C++,red,1250,210,,C_Sharp_(programming_language),Visual C# 2010 Step By Step;Criação de Sistemas Supervisorios em Visual C# 2010 Express;Como Programar com ASP.NET e C#;TCP/IP Sockets in C# Practical Guide for Programmers,https://msdn.microsoft.com/,
Aforge.NET,C#,yellow,1550,560,,AForge.NET,,,
Webcam Programming,Aforget.NET,yellow,1850,110,,Webcam,,,
Javascript,C++,yellow,1250,260,,JavaScript,"Professional JavaScript for Web Developers, 3rd Edition;JavaScript- The Definitive Guide, 6th Edition",,
NodeJS,Javascript,yellow,1550,310,,Node.js,NodeJS Beginner Book - A comprehensive Node.js Tutorial,http://book.mixu.net/node/,
Electronics,Physics,yellow,950,110,,Electronics,,,
Mcco,Electronics;C;Assembly,yellow,1250,310,,Microcontroller,Microcontroladores PIC18,,
FS,NodeJS,yellow,1850,160,NodeJS File System Lib,,,,
Http,TCPIP;HTML,yellow,1250,460,,Hypertext_Transfer_Protocol,,,
Ws,Socket;NodeJS,yellow,1850,60,,WebSocket,,,
Socket.IO,Ws;AJAX,yellow,2150,10,,Socket.IO,,,
USB,Electronics;PIC;C#,yellow,1850,210,,USB,USB Complete - The Developers Guide,,
PIC,Mcco,yellow,1550,60,,PIC_microcontroller,Microcontroladores PIC18,,
WebRTC,TCPIP;Javascript,yellow,1550,260,,WebRTC,WebRTC Blueprints;Realtime Communication with WebRTC;WebRTC Integrators Guide;WebRTC Cookbook,,
AJAX,TCPIP;Http,yellow,1550,460,,Ajax_(programming),,,
Design,,yellow,350,110,,Design,,,
SVG,XML;Design;Javascript,yellow,1250,410,,Scalable_Vector_Graphics,SVG Essentials;Building Web Applications with SVG,,
D3,SVG;Javascript,yellow,1550,360,,D3.js,Getting Started with D3;Learning D3.js Mapping,http://d3js.org/;https://www.dashingd3js.com/,
ESP8266,Mcco;LuaLang,yellow,1550,10,,ESP8266,,,
PHP,HTML;C,yellow,1550,510,,PHP,,,
Music,,yellow,350,160,,Music_theory,Compêndio de Teoria Elementar da Música - Osvaldo Lacerda;Standard Music Notation Practice,,
Acustic Guitar,Music,yellow,650,560,,Acoustic_guitar,,http://www.cifras.com.br;http://www.cifraclub.com.br,
ElecGuitar,Acustic Guitar,yellow,950,410,,Electric_guitar,,,
Cavaco,Music,yellow,650,510,,Cavaquinho,,http://www.cifras.com.br;http://www.cifraclub.com.br,
Bandolim,Music,yellow,650,460,,Mandolin#Portugal,,,
Banjo,Cavaco,yellow,950,360,,Banjo,,,
Socket,TCPIP,yellow,1550,160,,Network_socket,Redes de Computadores - Tanenbaum;TCP/IP Sockets in C# Practical Guide for Programmers,,
TCPIP,Math,yellow,950,210,,Internet_protocol_suite,Redes de Computadores - Tanenbaum;TCP/IP Sockets in C# Practical Guide for Programmers,,
UART,Electronics;C#;PIC,yellow,1850,260,,Universal_asynchronous_receiver/transmitter,,,
Music Score,Music,yellow,650,410,,Sheet_music,,,
