name,connections,color,x,y,description,wikipediaTitle,books,internetRefs,courses
Contabilidade,Matemática,,,,,,,,
Cultura País,História,,,,,,,,
Moto,Equilibrio,,,,,,,,
Dirigir ,Aprender as leis,,,,,,,,
Tantã,Afinação,,,,,,,,
História,Escola,,,,,,,,
Aprender as Leis,Auto Escola,,,,,,,,
Ler,Escola,,,,,,,,
Escrever,Escola,,,,,,,,
Algébra,Matemática,,,,,,,,
 Projetar um carro,Design; Engenharia Mecânica; Engenharia Elétrica,,,,,,,,
Construir um Prédio,Engenharia Civil,,,,,,,,
Engenharia,Escola,,,,,,,,
