name,connections,color,x,y,description,wikipediaTitle,books,internetRefs,courses
C#,Lógica;Programação,yellow,950,500,,,,,
C++,Lógica;Programação,yellow,950,450,,,,,
Javascript,Lógica;Programação,yellow,950,550,,,,,
VB.Net,Lógica;Programação,yellow,950,600,,,,,
Lógica,Programação,yellow,650,250,,,,,
HTML,Linguagem de marcação,yellow,1250,100,,,,,
XML,Linguagem de marcação,yellow,1250,150,,,,,
Linguagem de marcação,Web Design,yellow,950,400,,,,,
Web Design,Programação,yellow,650,200,,,,,
Programação,,yellow,350,150,,,,,
Business Intelligence,,yellow,350,100,,,,,
ETL,Business Intelligence,yellow,650,150,,,,,
Pentaho,ETL,yellow,950,250,,,,,
DataStage,ETL,yellow,950,300,,,,,
Integration Services,ETL,yellow,950,200,,,,,
SQL Server,ETL;Programação,yellow,950,350,,,,,
Front End,Business Intelligence,yellow,650,100,,,,,
Cognos,Front End,yellow,950,150,,,,,
Framework Manager,Front End,yellow,950,100,,,,,
Biologia,,yellow,350,350,,,,,
Anatomia humana,Biologia,yellow,650,500,,,,,
Musculatura esquelética,Anatomia humana,yellow,950,950,,,,,
Fisiologia do exercício,Biologia,yellow,650,550,,,,,
Hormônios,Fisiologia do exercício,yellow,950,1000,,,,,
Educação física,,yellow,350,200,,,,,
Exercícios,Educação física,yellow,650,300,,,,,
Resistência,Exercícios,yellow,950,600,,,,,
Hipertrofia,Exercícios,yellow,950,700,,,,,
Força,Exercícios,yellow,950,650,,,,,
Saúde,,yellow,350,300,,,,,
Alimentação,Saúde,yellow,650,400,,,,,
Macronutrientes,Alimentação,yellow,950,900,,,,,
Micronutrientes,Alimentação,yellow,950,850,,,,,
Dietas de emagrecimento,Alimentação,yellow,950,800,,,,,
Suplementação,Saúde,yellow,650,450,,,,,
Fisiologia,Alimentação;Inanição,yellow,950,750,,,,,
Inanição,,yellow,350,250,,,,,
