name,connections,color,x,y,description,wikipediaTitle,books,internetRefs,courses
C#,"Lógica,Programação",yellow,0,0,,,,,
C++,"Lógica,Programação",yellow,0,0,,,,,
Javascript,"Lógica,Programação",yellow,0,0,,,,,
VB.Net,"Lógica,Programação",yellow,0,0,,,,,
Lógica,Programação,yellow,0,0,,,,,
HTML,Linguagem de marcação,yellow,0,0,,,,,
XML,Linguagem de marcação,yellow,0,0,,,,,
Linguagem de marcação,Web Design,yellow,0,0,,,,,
Web Design,Programação,yellow,0,0,,,,,
Programação,,yellow,0,0,,,,,
Business Intelligence,,yellow,0,0,,,,,
ETL,Business Intelligence,yellow,0,0,,,,,
Pentaho,ETL,yellow,0,0,,,,,
DataStage,ETL,yellow,0,0,,,,,
Integration Services,ETL,yellow,0,0,,,,,
SQL Server,"ETL,Programação",yellow,0,0,,,,,
Front End,Business Intelligence,yellow,0,0,,,,,
Cognos,Front End,yellow,0,0,,,,,
Framework Manager,Front End,yellow,0,0,,,,,
Biologia,,yellow,0,0,,,,,
Anatomia humana,Biologia,yellow,0,0,,,,,
Musculatura esquelética,Anatomia humana,yellow,0,0,,,,,
Fisiologia do exercício,Biologia,yellow,0,0,,,,,
Hormônios,Fisiologia do exercício,yellow,0,0,,,,,
Educação física,,yellow,0,0,,,,,
Excercícios,Educação física,yellow,0,0,,,,,
Resistência,Excercícios,yellow,0,0,,,,,
Hipertrofia,Excercícios,yellow,0,0,,,,,
Força,Excercícios,yellow,0,0,,,,,
Saúde,,yellow,0,0,,,,,
Alimentação,Saúde,yellow,0,0,,,,,
Macronutrientes,Alimentação,yellow,0,0,,,,,
Micronutrientes,Alimentação,yellow,0,0,,,,,
Fisiologia,"Alimentação,Inanição",yellow,0,0,,,,,
Dietas de emagrecimento,Alimentação,yellow,0,0,,,,,
Suplementação,Saúde,yellow,0,0,,,,,
Fisiologia,Inanição,yellow,0,0,,,,,
